,extension,Compatible emissions to calculate,OSCAR-CDRMIP,OSCAR-ZECMIP,OSCAR-LUMIP,OSCAR-RCMIP,OSCAR-CMIP6
1pctCO2,,"['CO2','CH4','N2O','Xhalo']",1,0,0,1,1
1pctCO2-4xext,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
1pctCO2-cdr,,"['CO2','CH4','N2O','Xhalo']",1,0,0,1,1
1pctCO2-bgc,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
1pctCO2-rad,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
G1,,"['CO2','CH4','N2O','Xhalo']",0,0,0,0,1
G2,,"['CO2','CH4','N2O','Xhalo']",0,0,0,0,1
G6solar,,"['CO2','CH4','N2O','Xhalo']",0,0,0,0,1
abrupt-0p5xCO2,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
abrupt-2xCO2,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
abrupt-4xCO2,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
esm-1pct-brch-1000PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-1pct-brch-2000PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-1pct-brch-750PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-1pctCO2,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-abrupt-4xCO2,,"['CH4','N2O','Xhalo']",0,0,0,0,1
esm-bell-1000PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-bell-2000PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-bell-750PgC,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-hist,,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-histcmip5,,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-pi-CO2pulse,,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-pi-cdr-pulse,,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-piControl,,"['CH4','N2O','Xhalo']",0,1,0,1,1
esm-piControl-CMIP5,,"['CH4','N2O','Xhalo']",0,0,0,0,1
esm-rcp26,,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-rcp45,,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-rcp60,,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-rcp85,,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-spinup,,"['CH4','N2O','Xhalo']",0,0,0,0,0
esm-spinup-CMIP5,,"['CH4','N2O','Xhalo']",0,0,0,0,0
esm-ssp119,esm-ssp119ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp126,esm-ssp126ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp245,esm-ssp245ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp370,esm-ssp370ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp370-lowNTCF,esm-ssp370-lowNTCFext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp370-lowNTCF-gidden,esm-ssp370-lowNTCFext-gidden,[],0,0,0,1,0
esm-ssp434,esm-ssp434ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp460,esm-ssp460ext,"['CH4','N2O','Xhalo']",0,0,0,1,1
esm-ssp534-over,esm-ssp534-over-ext,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-ssp585,esm-ssp585ext,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-ssp585-ssp126Lu,esm-ssp585-ssp126Lu-ext,"['CH4','N2O','Xhalo']",1,0,1,1,1
esm-yr2010CO2-cdr-pulse,,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-yr2010CO2-CO2pulse,,"['CH4','N2O','Xhalo']",1,0,0,1,1
esm-yr2010CO2-control,,"['CH4','N2O','Xhalo']",0,0,0,0,1
esm-yr2010CO2-noemit,,"['CH4','N2O','Xhalo']",1,0,0,1,1
hist-1950HC,,"['CO2','CH4','N2O','Xhalo']",0,0,0,0,1
hist-CO2,,"['CO2','CH4','N2O','Xhalo']",0,0,0,1,1
