,color R,color G,color B,marker,linestyle
1pctCO2,0,0,0,,-
1pctCO2-4xext,0,0,0,o,-
1pctCO2-cdr,0,0,0,v,-
1pctCO2-bgc,0,0,0,s,-
1pctCO2-rad,0,0,0,d,-
G1,186/255.,96/255.,96/255.,*,-
G2,0,0,0,*,-
G6solar,153/255.,0/255.,2/255.,*,-
abrupt-0p5xCO2,186/255.,96/255.,96/255.,v,-
abrupt-2xCO2,186/255.,96/255.,96/255.,o,-
abrupt-4xCO2,186/255.,96/255.,96/255.,^,-
esm-1pct-brch-1000PgC,128/255.,128/255.,128/255.,o,-
esm-1pct-brch-2000PgC,128/255.,128/255.,128/255.,^,-
esm-1pct-brch-750PgC,128/255.,128/255.,128/255.,v,-
esm-1pctCO2,0,0,0,,-
esm-abrupt-4xCO2,186/255.,96/255.,96/255.,^,-
esm-bell-1000PgC,174/255.,138/255.,7/255.,o,-
esm-bell-2000PgC,174/255.,138/255.,7/255.,^,-
esm-bell-750PgC,174/255.,138/255.,7/255.,v,-
esm-hist,0,0,0,,-
esm-histcmip5,0,0,0,,--
esm-pi-CO2pulse,0,0,0,^,-
esm-pi-cdr-pulse,0,0,0,v,-
esm-rcp26,0/255.,52/255.,102/255.,,--
esm-rcp45,239/255.,85/255.,15/255.,,--
esm-rcp60,196/255.,121/255.,0/255.,,--
esm-rcp85,153/255.,0/255.,2/255.,,--
esm-ssp119,0/255.,170/255.,208/255.,,-
esm-ssp126,0/255.,52/255.,102/255.,,-
esm-ssp245,239/255.,85/255.,15/255.,,-
esm-ssp370,224/255.,0/255.,0/255.,,-
esm-ssp370-lowNTCF,224/255.,0/255.,0/255.,D,--
esm-ssp370-lowNTCF-gidden,224/255.,0/255.,0/255.,D,-.
esm-ssp434,255/255.,169/255.,0/255.,,-
esm-ssp460,196/255.,121/255.,0/255.,,-
esm-ssp534-over,127/255.,0/255.,110/255.,,-
esm-ssp585,153/255.,0/255.,2/255.,,-
esm-ssp585-ssp126Lu,153/255.,0/255.,2/255.,P,-
esm-yr2010CO2-cdr-pulse,186/255.,96/255.,96/255.,v,-
esm-yr2010CO2-CO2pulse,186/255.,96/255.,96/255.,^,-
esm-yr2010CO2-control,186/255.,96/255.,96/255.,,-
esm-yr2010CO2-noemit,186/255.,96/255.,96/255.,o,-
hist-1950HC,128/255.,128/255.,128/255.,>,-
hist-CO2,128/255.,128/255.,128/255.,+,-
hist-GHG,128/255.,128/255.,128/255.,P,-
hist-aer,128/255.,128/255.,128/255.,D,-
hist-bgc,128/255.,128/255.,128/255.,s,-
hist-nat,128/255.,128/255.,128/255.,*,-
hist-noLu,128/255.,128/255.,128/255.,o,-
hist-piAer,128/255.,128/255.,128/255.,x,-
hist-piNTCF,128/255.,128/255.,128/255.,X,-
hist-sol,128/255.,128/255.,128/255.,v,-
hist-stratO3,128/255.,128/255.,128/255.,<,-
hist-volc,128/255.,128/255.,128/255.,^,-
historical,0,0,0,,-
historical-CMIP5,0,0,0,,--
land-cCO2,,,,,
land-cClim,,,,,
land-crop-grass,,,,,
land-hist,,,,,
land-hist-altLu1,,,,,
land-hist-altLu2,,,,,
land-hist-altStartYear,,,,,
land-noLu,,,,,
land-noShiftcultivate,,,,,
land-noWoodHarv,,,,,
rcp26,0/255.,52/255.,102/255.,,--
rcp45,239/255.,85/255.,15/255.,,--
rcp60,196/255.,121/255.,0/255.,,--
rcp85,153/255.,0/255.,2/255.,,--
ssp119,0/255.,170/255.,208/255.,,-
ssp126,0/255.,52/255.,102/255.,,-
ssp126-ssp370Lu,0/255.,52/255.,102/255.,^,-
ssp245,239/255.,85/255.,15/255.,,-
ssp245-CO2,239/255.,85/255.,15/255.,+,-
ssp245-GHG,239/255.,85/255.,15/255.,P,-
ssp245-aer,239/255.,85/255.,15/255.,D,-
ssp245-nat,239/255.,85/255.,15/255.,*,-
ssp245-sol,239/255.,85/255.,15/255.,v,-
ssp245-stratO3,239/255.,85/255.,15/255.,<,-
ssp245-volc,239/255.,85/255.,15/255.,^,-
ssp370,224/255.,0/255.,0/255.,,-
ssp370-lowNTCF,224/255.,0/255.,0/255.,D,--
ssp370-lowNTCF-gidden,224/255.,0/255.,0/255.,D,-.
ssp370-ssp126Lu,224/255.,0/255.,0/255.,P,-
ssp434,255/255.,169/255.,0/255.,,-
ssp460,196/255.,121/255.,0/255.,,-
ssp534-over,127/255.,0/255.,110/255.,,-
ssp534-over-bgc,127/255.,0/255.,110/255.,s,-
ssp585,153/255.,0/255.,2/255.,,-
ssp585-bgc,153/255.,0/255.,2/255.,s,-
ssp585-ssp126Lu,153/255.,0/255.,2/255.,P,-
yr2010CO2,186/255.,96/255.,96/255.,,-
