CMIP6 name,RCMIP name,RCMIP category,longname,unit,warnings,variables of OSCAR used for calculation,OSCAR-CDRMIP,OSCAR-ZECMIP,OSCAR-LUMIP,OSCAR-RCMIP,OSCAR-CMIP6
cLand,,,Total land carbon,PgC,"Sum of all carbon pools, harvested wood products included.","['D_csoil1', 'D_csoil2', 'D_cveg','D_Csoil1_bk','D_Csoil2_bk','D_Cveg_bk','D_Chwp', 'D_Aland','csoil1_0','csoil2_0','cveg_0']",1,1,1,0,1
cLitter,,,Carbon Mass in Litter Pool,PgC,,"['D_csoil1', 'D_Aland','D_Csoil1_bk','csoil1_0','csoil2_0','cveg_0']",1,1,0,0,1
cLitterLut,,,Carbon in Above and Below-Ground Litter Pools on Land-Use Tiles,PgC,,"['D_csoil1', 'D_Aland','D_Csoil1_bk','csoil1_0','csoil2_0','cveg_0']",0,0,1,0,0
cOcean,,,Total ocean carbon,PgC,Arbitrary value of 37100 PgC for the preindustrial value of the C stock in the deep ocean. This arbitrary value does not affect results because outputs are provided with reference to its control.,"['D_Fcirc', 'D_Cosurf', 'dic_0']",1,0,0,0,1
cOcean_deep,,,Total deep ocean carbon,PgC,Arbitrary value of 37100 PgC for the preindustrial value of the C stock in the deep ocean. This arbitrary value does not affect results because outputs are provided with reference to its control.,['D_Fcirc'],1,0,0,0,1
cOcean_surf,,,Total surface ocean carbon,PgC,,"['D_Cosurf', 'dic_0']",1,0,0,0,1
cPermafrostFrozen,,,Carbon Mass in Frozen Permafrost Pool,PgC,,['D_Cfroz'],1,0,0,0,1
cPermafrostThawed,,,Carbon Mass in Thawed Permafrost Pool,PgC,,['D_Cthaw'],1,0,0,0,1
cProduct,,,Carbon Mass in Products of Land Use Change,PgC,,['D_Chwp'],1,1,0,0,1
cProductLut,,,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,PgC,,['D_Chwp'],0,0,1,0,0
cSoil,,,Carbon Mass in Soil Pool,PgC,,"['D_csoil2', 'D_Aland','D_Csoil2_bk','csoil1_0','csoil2_0','cveg_0']",1,1,0,0,1
cSoilLut,,,carbon in soil pool on Land-use tiles,PgC,,"['D_csoil2', 'D_Aland','D_Csoil2_bk','csoil1_0','csoil2_0','cveg_0']",0,0,1,0,0
cTotFireLut,,,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires",PgC,,"['D_efire','D_Aland','D_Efire_bk','D_Ehwp','csoil1_0','csoil2_0','cveg_0']",0,0,1,0,1
cVeg,,,Carbon Mass in Vegetation Pool,PgC,,"['D_cveg', 'D_Aland','D_Cveg_bk','csoil1_0','csoil2_0','cveg_0']",1,1,0,0,1
cVegLut,,,Carbon in Vegetation on Land-Use Tiles,PgC,,"['D_cveg', 'D_Aland','D_Cveg_bk','csoil1_0','csoil2_0','cveg_0']",0,0,1,0,0
ch4global,,,Global Mean Mole Fraction of CH4,ppb,,['D_CH4'],1,0,0,0,1
