RCMIP name,RCMIP variable,RCMIP region,RCMIP scenario,evaluation_period_start,evaluation_period_end,norm_period_start,norm_period_end,very_likely__lower,likely__lower,central,likely__upper,very_likely__upper,unit,evaluation method,Source
Compatible Fossil-fuel emissions of CO2 1960-1969,,World,historical,1960,1969,,,,2.8,3,3.2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Compatible Fossil-fuel emissions of CO2 1970-1979,,World,historical,1970,1979,,,,4.5,4.7,4.9,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Compatible Fossil-fuel emissions of CO2 1980-1989,,World,historical,1980,1989,,,,5.2,5.5,5.8,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Compatible Fossil-fuel emissions of CO2 1990-1999,,World,historical,1990,1999,,,,6.1,6.4,6.7,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Compatible Fossil-fuel emissions of CO2 2000-2009,,World,historical,2000,2009,,,,7.4,7.8,8.2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Compatible Fossil-fuel emissions of CO2 2009-2018,,World,ssp245,2009,2018,,,,9,9.5,10,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 1960-1969,,World,historical,1960,1969,,,,0.7,1.4,2.1,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 1970-1979,,World,historical,1970,1979,,,,0.5,1.2,1.9,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 1980-1989,,World,historical,1980,1989,,,,0.5,1.2,1.9,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 1990-1999,,World,historical,1990,1999,,,,0.6,1.3,2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 2000-2009,,World,historical,2000,2009,,,,0.7,1.4,2.1,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Land-use change CO2 emissions 2009-2018,,World,ssp245,2009,2018,,,,0.8,1.5,2.2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 1960-1969,,World,historical,1960,1969,,,,3.8,4.5,5.2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 1970-1979,,World,historical,1970,1979,,,,5.1,5.8,6.5,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 1980-1989,,World,historical,1980,1989,,,,5.9,6.7,7.5,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 1990-1999,,World,historical,1990,1999,,,,6.9,7.7,8.5,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 2000-2009,,World,historical,2000,2009,,,,8.4,9.2,10,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Total CO2 emissions 2009-2018,,World,ssp245,2009,2018,,,,10.2,11,11.8,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Growth rate in atmospheric CO2 1960-1969,,World,historical,1960,1969,,,,1.73,1.8,1.87,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Growth rate in atmospheric CO2 1970-1979,,World,historical,1970,1979,,,,2.73,2.8,2.87,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
Growth rate in atmospheric CO2 1980-1989,,World,historical,1980,1989,,,,3.38,3.4,3.2,,PgC / yr,mean,GCP (doi.org/10.5194/essd-11-1783-2019)
