indicator,RCMIP name,RCMIP variable,RCMIP region,RCMIP scenario,evaluation_period_start,evaluation_period_end,norm_period_start,norm_period_end,very_likely__lower,likely__lower,central,likely__upper,very_likely__upper,unit,RCMIP evaluation method,Source
Carbon uptake rate|Atmosphere World ssp245 1980-1989,Carbon uptake rate|Atmosphere World ssp245 1980-1989,Carbon Pool|Atmosphere,World,ssp245,1980,1989,1750,1750,,3.38,3.4,3.42,,PgC / yr,custom,
Carbon uptake rate|Atmosphere World ssp245 1990-1999,Carbon uptake rate|Atmosphere World ssp245 1990-1999,Carbon Pool|Atmosphere,World,ssp245,1990,1999,1750,1750,,3.08,3.1,3.12,,PgC / yr,custom,
Carbon uptake rate|Atmosphere World ssp245 2000-2009,Carbon uptake rate|Atmosphere World ssp245 2000-2009,Carbon Pool|Atmosphere,World,ssp245,2000,2009,1750,1750,,3.98,4,4.02,,PgC / yr,custom,
Carbon uptake rate|Atmosphere World ssp245 2009-2018,Carbon uptake rate|Atmosphere World ssp245 2009-2018,Carbon Pool|Atmosphere,World,ssp245,2009,2018,1750,1750,,4.88,4.9,4.92,,PgC / yr,custom,
Carbon uptake rate|Land World ssp245 1980-1989,Minus Net Land to Atmosphere Flux|CO2 World ssp245 1980-1989,Net Land to Atmosphere Flux|CO2,World,ssp245,1980,1989,1750,1750,,1.3,1.8,2.3,,PgC / yr,mean,
Carbon uptake rate|Land World ssp245 1990-1999,Minus Net Land to Atmosphere Flux|CO2 World ssp245 1990-1999,Net Land to Atmosphere Flux|CO2,World,ssp245,1990,1999,1750,1750,,2,2.4,2.8,,PgC / yr,mean,
Carbon uptake rate|Land World ssp245 2000-2009,Minus Net Land to Atmosphere Flux|CO2 World ssp245 2000-2009,Net Land to Atmosphere Flux|CO2,World,ssp245,2000,2009,1750,1750,,2,2.7,3.4,,PgC / yr,mean,
Carbon uptake rate|Land World ssp245 2009-2018,Minus Net Land to Atmosphere Flux|CO2 World ssp245 2009-2018,Net Land to Atmosphere Flux|CO2,World,ssp245,2009,2018,1750,1750,,2.6,3.2,3.8,,PgC / yr,mean,
Carbon uptake rate|Ocean World ssp245 1980-1989,Minus Net Ocean to Atmosphere Flux|CO2 World ssp245 1980-1989,Net Ocean to Atmosphere Flux|CO2,World,ssp245,1980,1989,1750,1750,,1.1,1.7,2.3,,PgC / yr,mean,
Carbon uptake rate|Ocean World ssp245 1990-1999,Minus Net Ocean to Atmosphere Flux|CO2 World ssp245 1990-1999,Net Ocean to Atmosphere Flux|CO2,World,ssp245,1990,1999,1750,1750,,1.4,2,2.6,,PgC / yr,mean,
Carbon uptake rate|Ocean World ssp245 2000-2009,Minus Net Ocean to Atmosphere Flux|CO2 World ssp245 2000-2009,Net Ocean to Atmosphere Flux|CO2,World,ssp245,2000,2009,1750,1750,,1.6,2.1,2.6,,PgC / yr,mean,
Carbon uptake rate|Ocean World ssp245 2009-2018,Minus Net Ocean to Atmosphere Flux|CO2 World ssp245 2009-2018,Net Ocean to Atmosphere Flux|CO2,World,ssp245,2009,2018,1750,1750,,1.9,2.5,3.1,,PgC / yr,mean,
Carbon uptake|Atmosphere World ssp245 1750-2018,Carbon Pool|Atmosphere World ssp245 1750-2018,Carbon Pool|Atmosphere,World,ssp245,2018,2018,1750,1750,,270,275,280,,PgC,mean,
Carbon uptake|Land World ssp245 1750-2018,Carbon Pool|Land World ssp245 1750-2018,Net Land to Atmosphere Flux|CO2,World,ssp245,2018,2018,1750,1750,,170,220,270,,PgC,custom,
Carbon uptake|Ocean World ssp245 1750-2018,Carbon Pool|Ocean World ssp245 1750-2018,Net Ocean to Atmosphere Flux|CO2,World,ssp245,2018,2018,1750,1750,,150,170,190,,PgC,custom,
Carbon uptake|Atmosphere World 1pctCO2 1850-1990,Carbon Pool|Atmosphere World 1pctCO2 1850-1990,Carbon Pool|Atmosphere,World,1pctCO2,1990,1990,1850,1850,1779,,1803,,1818,PgC,mean,Arora (2019) Figure 5 comma https://doi.org/10.5194/bg-2019-473
Carbon uptake|Land World 1pctCO2 1850-1990,Carbon Pool|Land World 1pctCO2 1850-1990,Net Land to Atmosphere Flux|CO2,World,1pctCO2,1990,1990,1850,1850,219,,635,,1204,PgC,custom,Arora (2019) Figure 5 comma https://doi.org/10.5194/bg-2019-474
Carbon uptake|Ocean World 1pctCO2 1850-1990,Carbon Pool|Ocean World 1pctCO2 1850-1990,Net Ocean to Atmosphere Flux|CO2,World,1pctCO2,1990,1990,1850,1850,546,,593,,706,PgC,custom,Arora (2019) Figure 5 comma https://doi.org/10.5194/bg-2019-475
Equilibrium Climate Sensitivity,Equilibrium Climate Sensitivity,,,,,,,,2,2.5,3,4,5,K,model-reported,
